Team_name,Category,Country,Drive_Folder,Institution_Address,Institution_Name,Institution_Short_Name,Logo,Social_Facebook,Social_Instagram,Social_Twitter,Website_Url,Former_Name
Team Arion,combustion,IN,,,Nitte Meenakshi Institute of Technology,NMIT,,https://www.facebook.com/TeamARION1/,https://www.instagram.com/alpha2018_teamarion/,,,
Team Mirage,combustion,IN,,,TSSM's Bhivarabai Sawant College of Engineering & Research,BSCOER,,,,,,
Indominus Motorsport,combustion,IN,,,Chandigarh University,CU,,https://www.facebook.com/Indominus-Motorsport-620659724949904/,https://www.instagram.com/indominusmotorsport/,https://twitter.com/Indominusmotor?s=09,http://www.indominusmotorsport.tk/,
DYP Motorsports,combustion,IN,,,D.Y Patil College of Engineering & Technology, Kasaba Bawada, Kolhapur,DYPCET,,,,,,
MPSTME Phoenix Racing,combustion,IN,,,SVKM's NMIMS Mukesh Patel School of Technology Management & Engineering,SVKM NMIMS MPSTME,,,,,,
Formula Manipal,combustion,IN,,,Manipal Academy of Higher Education,MAHE,,https://www.facebook.com/FormulaManipal/,https://www.instagram.com/formulamanipal/,https://twitter.com/formulamanipal,http://www.formulamanipal.in,
Wrench Wielders Racing,combustion,IN,,,Symbiosis Institute Of Technology,SIT Pune,,https://www.facebook.com/search/top/?q=wrench%20wielders%20racing,https://www.instagram.com/wrenchwieldersracing/,,http://www.wrenchwieldersracing.com,
Team RGIT Racing,combustion,IN,,,MCT's Rajiv Gandhi Institute of Technology,MCT RGIT,,https://www.facebook.com/teamrgitracing/,https://www.instagram.com/teamrgitracing/,https://twitter.com/teamrgitracing,,
Pegasus Racing,combustion,IN,,,PSG College of Technology,PSG College of Technology,,https://www.facebook.com/PSG.PegasusRacing/,https://www.instagram.com/pegasus_racing/,https://twitter.com/racing_pegasus,http://www.pegasusracing.in/,
Hyperion Racing Team,combustion,IN,,,Pillai College Of Engineering,PCE,,https://www.facebook.com/TheHyperions/,https://www.instagram.com/hyperion_racing_team/,https://twitter.com/thyperions,http://www.hyperionracing.in/,
Team Rousing,combustion,IN,,,Amrutvahini College Of Engineering, Sangamner,AVCOE Sangamner,,,,,,
High Speed Karlsruhe,combustion,DE,,,University of Applied Sciences Karlsruhe,UAS Karlsruhe,,https://www.facebook.com/HighSpeedKA/,https://www.instagram.com/highspeed_karlsruhe/,https://twitter.com/highspeedka,http://highspeed-karlsruhe.de/,
AeroX Motorsports,combustion,IN,,,SRM Institute of Science and Technology, NCR Campus,SRM Institute of Science and Technology, NCR Campus,,https://www.facebook.com/aeroxmotorsport,https://www.instagram.com/aerox_motorsports,https://twitter.com/AeroXMotorsport?s=09,https://www.aeroxmotorsports.com,
Infinity Motorsports,combustion,IN,,,Amity School of Engineering and Technology,ASET,,https://www.facebook.com/infinitymotorsportsamity/,https://www.instagram.com/inifinitymotorsportsamity/,,,
